"No.";"Antecedent";"Consequent";"Jumlah";"Support";"Confidence";"Exp. Confidence";"Lift Ratio"
"1";"TIRTA SAMBAL SAOS";"BALA BALA KANTONG 0.5 KG";"6";"0,77 %";"85,71 %";"1,41 %";"60,78"
"2";"BALA BALA KANTONG 0.5 KG";"TIRTA SAMBAL SAOS";"6";"0,77 %";"54,55 %";"0,90 %";"60,78"
"3";"TIRTA SAMBAL SAOS";"BIHUN JAGUNG PADAMU 380 GR MERAH";"5";"0,64 %";"71,43 %";"1,54 %";"46,43"
"4";"BIHUN JAGUNG PADAMU 380 GR MERAH";"TIRTA SAMBAL SAOS";"5";"0,64 %";"41,67 %";"0,90 %";"46,43"
"5";"TEPUNG BERAS CAP LOMBOK";"PATI MATAHARI";"6";"0,77 %";"60,00 %";"1,92 %";"31,20"
"6";"PATI MATAHARI";"TEPUNG BERAS CAP LOMBOK";"6";"0,77 %";"40,00 %";"1,28 %";"31,20"
"7";"BALA BALA KANTONG 0.5 KG";"BIHUN JAGUNG PADAMU 380 GR MERAH";"5";"0,64 %";"45,45 %";"1,54 %";"29,55"
"8";"BIHUN JAGUNG PADAMU 380 GR MERAH";"BALA BALA KANTONG 0.5 KG";"5";"0,64 %";"41,67 %";"1,41 %";"29,55"
"9";"FERMIPAN ASLI";"TERIGU SEGITIGA";"6";"0,77 %";"66,67 %";"2,44 %";"27,37"
"10";"TERIGU SEGITIGA";"FERMIPAN ASLI";"6";"0,77 %";"31,58 %";"1,15 %";"27,37"
"11";"PATI MATAHARI";"ROSE BRAND 500 GR BERAS";"7";"0,90 %";"46,67 %";"2,69 %";"17,33"
"12";"ROSE BRAND 500 GR BERAS";"PATI MATAHARI";"7";"0,90 %";"33,33 %";"1,92 %";"17,33"
"13";"PETIS RAJAWALI 1 KG";"KACANG TANAH LOKAL";"5";"0,64 %";"55,56 %";"3,46 %";"16,05"
"14";"PATI MATAHARI";"TERIGU SEGITIGA";"5";"0,64 %";"33,33 %";"2,44 %";"13,68"
"15";"TERIGU SEGITIGA";"PATI MATAHARI";"5";"0,64 %";"26,32 %";"1,92 %";"13,68"
"16";"MIE SEDAP AYAM BAWANG";"MIE SEDAP SOTO";"8";"1,03 %";"53,33 %";"4,62 %";"11,56"
"17";"BALA BALA KANTONG 0.5 KG";"TELUR RAS A";"8";"1,03 %";"72,73 %";"6,79 %";"10,70"
"18";"TIRTA SAMBAL SAOS";"TELUR RAS A";"5";"0,64 %";"71,43 %";"6,79 %";"10,51"
"19";"LPG 3 KG";"BUBUK MURNI 0.25 KG";"5";"0,64 %";"55,56 %";"5,51 %";"10,08"
"20";"GG DJAYA HIJAU 12 1 PRES";"TAJIMAS GOLD GRENJENG 1 PRES";"5";"0,64 %";"41,67 %";"4,23 %";"9,85"
"21";"SAMPOERNA AGA 10+2 1 PRES";"GRENDEL BIRU 12 1 PRES";"7";"0,90 %";"36,84 %";"3,85 %";"9,58"
"22";"MIE SEDAP SOTO";"MIE SEDAP GORENG";"22";"2,82 %";"61,11 %";"6,92 %";"8,83"
"23";"MIE SEDAP GORENG";"MIE SEDAP SOTO";"22";"2,82 %";"40,74 %";"4,62 %";"8,83"
"24";"GRENDEL UTAMA ISI 5 PACK";"TAJIMAS GOLD GRENJENG 1 PRES";"11";"1,41 %";"34,38 %";"4,23 %";"8,13"
"25";"TAJIMAS GOLD GRENJENG 1 PRES";"GRENDEL UTAMA ISI 5 PACK";"11";"1,41 %";"33,33 %";"4,10 %";"8,13"
"26";"SAMPOERNA AGA 10+2 1 PRES";"ANDALAN FILTER 12 5 PAK";"7";"0,90 %";"36,84 %";"4,74 %";"7,77"
"27";"MIE SEDAP AYAM BAWANG";"BAWANG PUTIH";"5";"0,64 %";"33,33 %";"4,36 %";"7,65"
"28";"SAMPOERNA AGA 10+2 1 PRES";"TAJIMAS GOLD GRENJENG 1 PRES";"6";"0,77 %";"31,58 %";"4,23 %";"7,46"
"29";"BIHUN JAGUNG PADAMU 380 GR MERAH";"TELUR RAS A";"6";"0,77 %";"50,00 %";"6,79 %";"7,36"
"30";"GRENDEL BIRU 12 1 PRES";"GRENDEL UTAMA ISI 5 PACK";"9";"1,15 %";"30,00 %";"4,10 %";"7,31"
"31";"GRENDEL UTAMA ISI 5 PACK";"GRENDEL BIRU 12 1 PRES";"9";"1,15 %";"28,12 %";"3,85 %";"7,31"
"32";"MIE SEDAP KOREAN SPICY CHICKEN";"MIE SEDAP GORENG";"5";"0,64 %";"50,00 %";"6,92 %";"7,22"
"33";"SAMPOERNA AGA 10+2 1 PRES";"GG SURYA 12";"14";"1,79 %";"73,68 %";"10,51 %";"7,01"
"34";"DJ SCORE TEH MANIS 12";"TAJIMAS KING";"6";"0,77 %";"60,00 %";"8,72 %";"6,88"
"35";"GAJAH BARU INTERNATIONAL 12";"GG SURYA 12";"5";"0,64 %";"71,43 %";"10,51 %";"6,79"
"36";"MIE SEDAP AYAM BAWANG";"MIE SEDAP GORENG";"7";"0,90 %";"46,67 %";"6,92 %";"6,74"
"37";"SAMPOERNA AGA 10+2 1 PRES";"TAJIMAS KING";"11";"1,41 %";"57,89 %";"8,72 %";"6,64"
"38";"SAMPOERNA AGA 10+2 1 PRES";"GRENDEL UTAMA ISI 5 PACK";"5";"0,64 %";"26,32 %";"4,10 %";"6,41"
"39";"TAJIMAS GOLD GRENJENG 1 PRES";"ANDALAN FILTER 12 5 PAK";"10";"1,28 %";"30,30 %";"4,74 %";"6,39"
"40";"ANDALAN FILTER 12 5 PAK";"TAJIMAS GOLD GRENJENG 1 PRES";"10";"1,28 %";"27,03 %";"4,23 %";"6,39"
"41";"BUBUK SATU SATU 250 G";"MIE SEDAP SOTO";"5";"0,64 %";"29,41 %";"4,62 %";"6,37"
"42";"ROSE BRAND 500 GR BERAS";"TERIGU BIASA";"6";"0,77 %";"28,57 %";"4,49 %";"6,37"
"43";"GRENDEL BIRU 12 1 PRES";"GG SURYA 12";"19";"2,44 %";"63,33 %";"10,51 %";"6,02"
"44";"BUBUK SATU SATU 250 G";"KRESEK LOREK JATAYU";"5";"0,64 %";"29,41 %";"5,00 %";"5,88"
"45";"GRENDEL UTAMA ISI 5 PACK";"TAJIMAS KING";"16";"2,05 %";"50,00 %";"8,72 %";"5,74"
"46";"DJ SCORE TEH MANIS 12";"GG SURYA 12";"6";"0,77 %";"60,00 %";"10,51 %";"5,71"
"47";"GG DJAYA HIJAU 12 1 PRES";"GG SURYA 12";"7";"0,90 %";"58,33 %";"10,51 %";"5,55"
"48";"KACANG TANAH LOKAL";"BUBUK MURNI 0.25 KG";"8";"1,03 %";"29,63 %";"5,51 %";"5,37"
"49";"GRENDEL BIRU 12 1 PRES";"TAJIMAS KING";"14";"1,79 %";"46,67 %";"8,72 %";"5,35"
"50";"ANDALAN FILTER 12 5 PAK";"TAJIMAS KING";"17";"2,18 %";"45,95 %";"8,72 %";"5,27"
"51";"GRENDEL UTAMA ISI 5 PACK";"ANDALAN FILTER 12 5 PAK";"8";"1,03 %";"25,00 %";"4,74 %";"5,27"
"52";"TAJIMAS KING";"ANDALAN FILTER 12 5 PAK";"17";"2,18 %";"25,00 %";"4,74 %";"5,27"
"53";"TAJIMAS GOLD GRENJENG 1 PRES";"TAJIMAS KING";"15";"1,92 %";"45,45 %";"8,72 %";"5,21"
"54";"DJI SAM SOE 12";"GG SURYA 12";"5";"0,64 %";"50,00 %";"10,51 %";"4,76"
"55";"GRENDEL UTAMA ISI 5 PACK";"GG SURYA 12";"16";"2,05 %";"50,00 %";"10,51 %";"4,76"
"56";"TERIGU CAKRA";"GULA PUTIH LOKAL";"5";"0,64 %";"83,33 %";"18,46 %";"4,51"
"57";"ANDALAN FILTER 12 5 PAK";"GG SURYA 12";"17";"2,18 %";"45,95 %";"10,51 %";"4,37"
"58";"BUBUK SATU SATU 250 G";"MIE SEDAP GORENG";"5";"0,64 %";"29,41 %";"6,92 %";"4,25"
"59";"TAJIMAS KING";"GG SURYA 12";"30";"3,85 %";"44,12 %";"10,51 %";"4,20"
"60";"GG SURYA 12";"TAJIMAS KING";"30";"3,85 %";"36,59 %";"8,72 %";"4,20"
"61";"KAPAL API 6.5 G 1 RTG";"TAJIMAS KING";"5";"0,64 %";"35,71 %";"8,72 %";"4,10"
"62";"KOREK DUCATI";"GG SURYA 12";"6";"0,77 %";"42,86 %";"10,51 %";"4,08"
"63";"TAJIMAS GOLD GRENJENG 1 PRES";"GG SURYA 12";"14";"1,79 %";"42,42 %";"10,51 %";"4,04"
"64";"MIE SEDAP AYAM BAWANG";"GG SURYA 12";"5";"0,64 %";"33,33 %";"10,51 %";"3,17"
"65";"INTERMI GORENG";"GULA PUTIH LOKAL";"6";"0,77 %";"54,55 %";"18,46 %";"2,95"
"66";"BALA BALA KANTONG 0.5 KG";"GULA PUTIH LOKAL";"6";"0,77 %";"54,55 %";"18,46 %";"2,95"
"67";"TEPUNG BERAS CAP LOMBOK";"GULA PUTIH LOKAL";"5";"0,64 %";"50,00 %";"18,46 %";"2,71"
"68";"KACANG TANAH LOKAL";"GULA PUTIH LOKAL";"12";"1,54 %";"44,44 %";"18,46 %";"2,41"
"69";"BUBUK MURNI 0.25 KG";"GULA PUTIH LOKAL";"19";"2,44 %";"44,19 %";"18,46 %";"2,39"
"70";"BIHUN JAGUNG PADAMU 380 GR MERAH";"GULA PUTIH LOKAL";"5";"0,64 %";"41,67 %";"18,46 %";"2,26"
"71";"MINYAK CURAH BIMOLI";"GULA PUTIH LOKAL";"17";"2,18 %";"40,48 %";"18,46 %";"2,19"
"72";"PATI MATAHARI";"GULA PUTIH LOKAL";"6";"0,77 %";"40,00 %";"18,46 %";"2,17"
"73";"KRESEK LOREK JATAYU";"GULA PUTIH LOKAL";"15";"1,92 %";"38,46 %";"18,46 %";"2,08"
"74";"GULA KELAPA BLITAR";"GULA PUTIH LOKAL";"8";"1,03 %";"38,10 %";"18,46 %";"2,06"
"75";"TELUR RAS A";"GULA PUTIH LOKAL";"20";"2,56 %";"37,74 %";"18,46 %";"2,04"
"76";"TERIGU BIASA";"GULA PUTIH LOKAL";"13";"1,67 %";"37,14 %";"18,46 %";"2,01"
"77";"MASAKO 11 GR SCT SAPI 1 RTG";"GULA PUTIH LOKAL";"6";"0,77 %";"31,58 %";"18,46 %";"1,71"
"78";"BUBUK SATU SATU 250 G";"GULA PUTIH LOKAL";"5";"0,64 %";"29,41 %";"18,46 %";"1,59"
