Transaction ID;Products;Date;Categories;Codes
T30;DJ 76 MADU HITAM  5 PAK, DJ LA 16 LIGHT 5 PACK, DJ LA 20 BOLD 5 PACK, DJ RAPTOR 5 PAK, DUNHILL FILTER 16 BLACK, GG DJAYA HIJAU 12 1 PRES, GG SURYA 12  1 PRES, GRENDEL BIRU 12 1 PRES, SAMPOERNA AGA 10+2 1 PRES, TAJIMAS GOLD GRENJENG 1 PRES, TAJIMAS KING 1 PRES;2023-05-23;ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK;101774, 101057, 105758, 0101531, 912363, 502122, 110129, 129891, 000988, 076009, KING
T31;DOWNY FLORAL PINK 11 ML 1 RTG, LAPIS MAWAR PUTIH, PEPSODENT 75 GR WHITE, SOKLIN SOFT 425 GR PURPLE LAVENDER, SUNLIGHT 370 ML, ZINC SCT ACTIVE COOL 12 ML 1 LSN;2023-05-24;SABUN, MAKANAN, PASTA GIGI, SABUN, SABUN, SHAMPO;803380, 046768, 706081, 808248, 585297, 107525
T32;HAPPY NAPPY PANTS L20, MILKU 200 ML COKLAT PREMIUM, MY JELLY 210 GR ISI 15;2023-05-26;DIAPERS, MAKANAN, MAKANAN;072202, 202725, 016634
T33;INDOMIE GORENG 85 GR, INDOMILK 370 GR SKM PUTIH, MIE SEDAP SOTO, MIE SEDAP SOTO MADURA, SUNLIGHT 370 ML, TELUR RAS A;2023-05-27;MAKANAN, MAKANAN, MAKANAN, MAKANAN, SABUN, MAKANAN;010947, 000018, 200325, 203401, 585297, 783492
T34;BELFOODS UENAAK SOSIS BAKAR 500 GR, KODOMO BP 50 GR SWEET F, SNACK RINGAN  KUE BASAH;2023-05-27;MAKANAN, PERLENGKAPAN BAYI, MAKANAN;899639, 104968, 100000
T35;ANDALAN FILTER 12, DAIA SOFT VIOLET SCT 53 GR 6 PCS, DODO COTTON BUDS 122, NUVO FAMILY 76G RELAX & PROTECT, NUVO FAMILY 80 GR MERAH, TAJIMAS GOLD GRENJENG;2023-05-28;ROKOK, SABUN, TISSU & KAPAS, SABUN, SABUN, ROKOK;340239, 610230, 112262, 618144, 602556, 076009
T36;AGAR KIJANG MAS MERAH 5 GR, MINYAK CURAH BIMOLI, ROSE BRAND 500 GR BERAS, WECARE POPOK SINGLE L1;2023-05-29;MAKANAN, MAKANAN, MAKANAN, DIAPERS;123461, 986998, 115008, 011016
T37;BUBUK MURNI 0.25 KG, INDOMILK KENTAL MANIS COKLAT 37 GR, MIE KEONG MAS 1 IKAT, SOKLIN SOFT PURPLE 320 GR 1 DOS, TAJIMAS KING 1 PRES;2023-05-30;MAKANAN, MAKANAN, MAKANAN, SABUN, ROKOK;456465, 001359, LOMB, 610070, KING
T38;BUBUK SATU SATU 250 G, MAMA LEMON 58 ML, PASEO SMART 250 S MINION, SOKLIN SOFT 275 GR PINK;2023-05-31;MAKANAN, SABUN, TISSU & KAPAS, SABUN;001800, 105125, 121407, 609487
T39;BONEETO UHT CHOCOLATE 115ML, PERMEN BOBO, QEEYA TAWAR CASINO;2023-06-01;MAKANAN, MAKANAN, MAKANAN;014423, PB, 044708
