Transaction ID;Products;Date;Categories;Codes
T94;NABATI RICHOO 39GR, POCARI SWEAT 500 ML, RICHEESE 39 GR WAFER KEJU, SG KODOMO SOFT REG, YAKULT;2023-06-24;MAKANAN, MAKANAN, MAKANAN, PERLENGKAPAN BAYI, MAKANAN;535885, 563414, 535878, 102681, YY
T95;EKONOMI 350K LEMON, GULA PUTIH LOKAL, PEPSODENT WHITE 225 GR, SUNSILK SHA SCT 10 ML SOFT& SMOOTH;2023-06-24;SABUN, MAKANAN, PASTA GIGI, SHAMPO;603829, 859384, 037765, 048242
T96;BUBUK MURNI, FF KENTAL MANIS 280 G COKELAT, ROMA SARI GANDUM 240 GR, WARDAH BB CREAM 15 ML LIGHTENING;2023-06-25;MAKANAN, MAKANAN, MAKANAN, KOSMETIK;456465, 721580, 302347, 690867
T97;GELAS KOPI POLKADOT, LADAKU MERICA BUBUK 2.5 GR, TERIGU BIASA;2023-06-25;PLASTIK & MIKA, MAKANAN, MAKANAN;079905, 930612, 985324
T98;BERAS BRAMO, BUBUK MURNI 0.25 KG, TAJIMAS KING 1 PRES;2023-06-25;MAKANAN, MAKANAN, ROKOK;232894, 456465, KING
T99;FRENCH FRIES 62 GR, GT RAINBOW CHOCOCHIPS 72 GR, JET Z CHOCO FIESTA 65 GR;2023-06-26;MAKANAN, MAKANAN, MAKANAN;223207, 030479, 605006
T100;EKONOMI 500K ANTI NODA VIOLET, KRESEK PRESTON 1 KG, MAMA LEMON 680 ML JERUK NIPIS, PLASTIK KLIP 5X8, PUNDIMAS HIJAU 12, WINGS BIRU 500 K;2023-06-27;SABUN, PLASTIK & MIKA, SABUN, PLASTIK & MIKA, ROKOK, SABUN;611121, 891025, 105156, 012013, PUNDI, 670722
T101;CIPTADENT 190 GR COOL MINT, NUVO FAMILY 80 GR CARE PROTECT, PIATTOS SAPI PANGGANG 18 GR, SQ CHUNKY ALMOND 30 GR;2023-06-27;PASTA GIGI, SABUN, MAKANAN, MAKANAN;100168, 610742, 005153, 113023
T102;NUTRISARI 11 GR JERUK EXTRA MANIS R, NUTRISARI MADU JERUK 14 GR 1 RTG, TOP KOPI SUSU PLUS GULA 1 RTG;2023-06-28;MAKANAN, MAKANAN, MAKANAN;010414, 1011121, 200745
T103;BUBUK MURNI 0.25 KG, EKOMIE 600GR, GULA PUTIH LOKAL, INDOMIE SOTO LAMONGAN KHAS JATIM, INDOMILK UHT 115 ML COKLAT, KRESEK LOREK JATAYU, KUE BASAH, MAMA LIME 115 ML, MEDICARE 90 GR CLASSIC, MIE SEDAP GORENG, MIE SEDAP KOREAN SPICY CHICKEN, MINYAK CURAH BIMOLI, SANDAL MELLY KH 10-10.5;2023-06-28;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, PLASTIK & MIKA, MAKANAN, SABUN, SABUN, MAKANAN, MAKANAN, MAKANAN, SANDAL & SEPATU;456465, 200561, 859384, 043419, 000239, 256662, WING 4, 105132, 121211, 200301, 202343, 986998, 222226
T104;ABC SELERA PEDAS NAMPOL 80 GR, INDOMIE GORENG 85 GR ACEH, KAPAL API 6.5 G 1 RTG, KECAP SEDAP MANIS POUCH 225 ML, KRIPIK DUA PUTRI TEMPE, MINYAK CURAH BIMOLI, PIA KACANG HIJAU ROSE;2023-06-29;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;132324, 043204, 105584, 608046, 042695, 986998, 678900
T105;INDOMIE GORENG 85 GR KRIUK PEDAS, ROYCO SAPI 9 GR 1 RTG, ZWITSAL BS 70 GR NATURAL;2023-06-30;MAKANAN, MAKANAN, PERLENGKAPAN BAYI;059779, 502409, 247163
T106;GARUDA CRUNCHY 13 GR POTATO DAGING, KOKO KRUNCH 15 GR, YUPI DINO LAND 8.5 GR;2023-07-01;MAKANAN, MAKANAN, MAKANAN;002193, 420373, 945240
T107;KERTAS KADO KIKY, LIFEBUOY SCT A DANDRUF 1 PAK, MINYAK KITA REFF 1 LTR, SG FORMULA ACTIVE CLEAN, SOKLIN SOFT 245 GR SAKURA, TELUR RAS A;2023-07-01;ALAT TULIS KANTOR, SHAMPO, MAKANAN, PERLENGKAPAN KAMAR MANDI, SABUN, MAKANAN;016203, 027056, 150256, 026031, 612180, 783492
T108;BERAS CAP IKAN MUJAER 5 KG, BERAS INI BERASKU 10 KG, BERAS ZAK BIRU POLOS 1 ZAK, CAMP OLYMPIA CHOCO FUDGE 80ML;2023-07-02;MAKANAN, MAKANAN, MAKANAN, MAKANAN;363636, 328456, 074013, 700057
T109;PADDLE POP TRICO 60 ML, SNOWMAN V-5 HITAM, VISION BOXY 42 1 PAK;2023-07-03;MAKANAN, ALAT TULIS KANTOR, ALAT TULIS KANTOR;588090, 011133, 896574
T110;CAMP SPIDERMAN 55 ML, CORNETTO CLASSICO BLK&WHT 80 ML, MARSHMALLOW, RUMUT 4GR RASA AYAM;2023-07-03;MAKANAN, MAKANAN, MAKANAN, MAKANAN;971266, 593384, 783768, 250367
T111;ANLENE 20 GR VANILA 1 RTG, CLEVO UHT 125 ML STROBERI, HYDRO COCO 330 ML, MARSHMALLOW, POCKY 33 GR MILKY MATCHA;2023-07-03;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;040026, 717011, 781493, 783768, 4000048
T112;FF PURE FARM 225 ML COCONUT DELIGHT, FF PURE FARM 225 ML SWEET DELIGHT, FRENCH FRIES 62 GR, INL SP REFF 900 ML, MINYAK CURAH BIMOLI, NABATI WAFER PINK LAVA 125 GR, VIGO SOSIS RASA SAPI 1 PACK;2023-07-04;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;700103, 700905, 223207, 150195, 986998, 544764, 211822
T113;CAMP SPONGEBOB STICK, CHO CHO  WAFER SNACK 35 G CHOCOSTRA, CHO-CHO JOY 20 GR, CLEVO UHT 125 ML STROBERI;2023-07-05;MAKANAN, MAKANAN, MAKANAN, MAKANAN;720611, 924461, 954093, 717011
T114;DJ 76 KRETEK 12 1 PRES, GG MERAH 12 1 PRES, GULA PUTIH LOKAL 10 KG;2023-07-05;ROKOK, ROKOK, MAKANAN;101668, 500128, 859384
T115;BUBUK SATU SATU 250 G, DAIA 53 SCT SOFT 6 PCS, EKOMIE 3 KG, GG DJAYA HIJAU 12 1 PRES, INDOMILK SKM 40 G SCT 1 RTG, KRESEK LOREK JATAYU, MIE SEDAP GORENG, MIE SEDAP SOTO, MINYAK CURAH BIMOLI;2023-07-06;MAKANAN, SABUN, MAKANAN, ROKOK, MAKANAN, PLASTIK & MIKA, MAKANAN, MAKANAN, MAKANAN;001800, 608701, EKO3, 502122, 001557, 256662, 200301, 200325, 986998
T116;KOREK DUCATI, ME BENNO EYE GLASS, MENTOS RAINBOW MYSTERY 29 GR, ROMA SARI GANDUM 36 GR SANDWICH, TAJIMAS KING, YUPI BOLICIOUS BLACKBERRY;2023-07-06;BAHAN BAKAR, MAKANAN, MAKANAN, MAKANAN, ROKOK, MAKANAN;020238, EG, 022574, 308059, KING, 906203
T117;GULA PUTIH LOKAL, KUE BASAH, MIXAGRIP FLU;2023-07-08;MAKANAN, MAKANAN, OBAT;859384, WING, 999991
T118;GARAM HALUS SEGI TIGA G 200 GR, MILNA BISKUIT APEL ORANGE 65 GR, SOKLIN SOFT 425 GR PURPLE LAVENDER, SUNCO REF 2 LTR, SUNLIGHT REFF 105 ML JERUK NIPIS;2023-07-08;MAKANAN, MAKANAN, SABUN, MAKANAN, SABUN;123453, 307512, 808248, 500238, 050009
T119;GOOD TIME DOUBLE CHOC 26,5 GR, IMPLORA LIP CREAM 11 RED BEAN, TIC TAC 90 GR A.BAWANG;2023-07-08;MAKANAN, KOSMETIK, MAKANAN;030950, 0011000, 602405
T120;BAWANG PUTIH, GG KALENG 50 BTG, HANSAPLAST PLASTER 1 KTK, KARA SANTAN CAIR 65 ML 10 PCS, MIXAGRIP FLU 10 LBR, SEDAP AYAM BAWANG  10 PCS, SEDAP GORENG 10 PCS, SEDAP SOTO 10 PCS;2023-07-09;MAKANAN, ROKOK, OBAT, MAKANAN, OBAT, MAKANAN, MAKANAN, MAKANAN;896564, 110501, 7026370, 781025, 999991, 200318, 200301, 200325
T121;FERMIPAN ASLI, GULA PUTIH LOKAL, KETAN HITAM SOSOH  0.25 KG, MENTEGA AMANDA, TERIGU CAKRA;2023-07-09;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;740001, 859384, 565612, 332614, 872884
T122;ANEKA SNACK SYISEL JAYA MAKMUR, GULA PUTIH LOKAL, QUEENTANA GADO-GADO, SARIWANGI ISI 30;2023-07-09;MAKANAN, MAKANAN, MAKANAN, MAKANAN;445511, 859384, 048701, 556327
T123;AR RAYYAN REGULER, PONDS FF 100 GR PURE WHITE, SARIAYU REF 15 GR KL, TAWAR KUPAS MAWAR;2023-07-09;KOSMETIK, SABUN, KOSMETIK, MAKANAN;024806, 053048, 102390, 040511
T124;INDOMILK SKM 40 G SCT 1 RTG, KUACI REBO 70 GR GREEN TEA, MIE KREMEZZ SHOR 16 GR AYAM PANGGAN, SO NICE TEMAN MIE 600 GR;2023-07-10;MAKANAN, MAKANAN, MAKANAN, MAKANAN;001557, 509574, 937066, 0002489
T125;BAWANG PUTIH, BUBUK MURNI, GARAM KOTAK, GULA PUTIH LOKAL, ME BENNO EYE GLASS, NABATI RICHOO 5 GR WAFER CHOCO, NABATI SIIP 5 GR KEJU, SOKLIN SOFT 275 GR PINK, YUPI ICE CREAM CONE;2023-07-11;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, SABUN, MAKANAN;896564, 456465, 233211, 859384, EG, 531696, 531702, 609487, 904728
T126;BUTTER CREAM 0.25 KG, KERTAS MINYAK MERAK 100, MAIZENA HAWAI;2023-07-13;MAKANAN, PLASTIK & MIKA, MAKANAN;888999, 666678, 046524
T127;CERELAC 120 GR BM&SUSU, INDOMIE SOTO BANJAR LIMO KULIT, KUE BASAH, NABATI SIIP JAGUNG 5 GR 1 PAC;2023-07-13;MAKANAN, MAKANAN, MAKANAN, MAKANAN;131867, 011692, WING, 531719
T128;EKONOMI POWER LIQUID 650 ML, SAYANG DET 260 GR ORIGINAL FRESH, SHANGHAI MACAN 340 GR;2023-07-13;SABUN, SABUN, MAKANAN;611718, 306521, 040118
T129;GERY SALUUT 110 GR SWEETCHEESE, PADDLE POP UPIN & IPIN, SUSU JAHE SIDOMUNCUL 1 RTG;2023-07-14;MAKANAN, MAKANAN, MAKANAN;315095, 582807, 853100
T130;BERAS INI BERASKU IR SUPER 25 KG, BUBUK MURNI, GARAM JANGKAR 250 GR, GIV 80 GR WHITE HIJAB S & N, GULA PUTIH LOKAL, KACANG TANAH LOKAL, MINYAK CURAH BIMOLI, TELUR RAS A;2023-07-14;MAKANAN, MAKANAN, MAKANAN, SABUN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;010132, 456465, 280043, 621519, 859384, 047902, 986998, 783492
T131;BALL POINT SEGITIGA 9008  LOL9008L, BALL POPINT VANCO GEL PEN V-1977, CAMP OLYMPIA CHOCO FUDGE 80ML, INDOMILK SKM 545 GR PLAIN, MASAKO 11 GR SCT SAPI 1 RTG, SASA 50 G, SIDU HALUS 38, STIPO KIRIKO, VISION KOTAK KECIL;2023-07-15;ALAT TULIS KANTOR, ALAT TULIS KANTOR, MAKANAN, MAKANAN, MAKANAN, MAKANAN, ALAT TULIS KANTOR, ALAT TULIS KANTOR, ALAT TULIS KANTOR;491001, 219773, 700057, 003902, 033147, 943017, 220030, 808108, 895531
T132;KUE BASAH, MILKITA LOLYPOP 7 GR;2023-07-16;MAKANAN, MAKANAN, MAKANAN;WING 4, WING, MI
T133;CAMP FANTASY STROBERI, KACANG TANAH LOKAL 0.25 KG, KANTONG TGG, KRUPUK PEDAS PANDA 500 GR, MIE SEDAP SINGAPORE SPICY LAKSA, MINYAK KITA REFF 1 LTR, REX LOT 10 GR FREE SPIRIT, SOSIS KIMBO  SO NICE  IGA BAKAR;2023-07-17;MAKANAN, MAKANAN, PLASTIK & MIKA, MAKANAN, MAKANAN, MAKANAN, KOSMETIK, MAKANAN;971013, 047902, 304048, 060557, 203104, 150256, 015024, SS
T134;EKOMIE 3 KG, GULA PUTIH LOKAL, KRESEK LOREK JATAYU;2023-07-18;MAKANAN, MAKANAN, PLASTIK & MIKA;EKO3, 859384, 256662
T135;POP MIE 75 GR AYAM BAWANG, POP MIE 75 GR BASO, POP MIE AYAM;2023-07-19;MAKANAN, MAKANAN, MAKANAN;060003, 060126, 060027
T136;DODO NIPPLE SIZE ML, HYDRO COCO 250 ML ORIGINAL, INDOMILK UHT 115 ML COKLAT, MILO UHT 110 ML;2023-07-19;PERLENGKAPAN BAYI, MAKANAN, MAKANAN, MAKANAN;020236, 527308, 000239, 523081
T137;BUBBLE MATA, CUSSONS KIDS PG 45 GR FRUITY BERRIE, MASTER KIDS COLOG 100 ML BUMBEBEE, SG KODOMO SOFT REG;2023-07-20;MAKANAN, PASTA GIGI, KOSMETIK, PERLENGKAPAN BAYI;280229, 001593, 312274, 102681
T138;BELFOODS CRUNCHY NUGGET 140 GR, BERAS KANO 5KG, GERY SALUUT 110 GR MALKIST CHOCO, MALKIST OLEZZ STRAWBERY 100 GR, MINYAK CURAH BIMOLI, TELUR RAS A;2023-07-20;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;899943, 480431, 315057, 132035, 986998, 783492
T139;FERMIPAN ASLI, FORVITA MARGARIN, MINYAK CURAH BIMOLI, MIWON GARAM GURIH 250 GR, SAOS JEMPOL SAMBAL 480 G, TERIGU SEGITIGA;2023-07-20;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;740001, 520495, 986998, 153014, 040601, 845924
T140;GILLETTE GOAL KLIK MERAH, GULA KELAPA BLITAR, MERICA, YUPI WOTAA MELON 1 DOS;2023-07-20;PERLENGKAPAN KAMAR MANDI, MAKANAN, MAKANAN, MAKANAN;101011, 696946, MERICA, 905466
T141;GULA PUTIH LOKAL, KRESEK MERAH 8838, MIE PANDA KECIL, MINYAK INL SP REFF 900 ML;2023-07-20;MAKANAN, PLASTIK & MIKA, MAKANAN, MAKANAN;859384, 002900, MIEP, 150195
T142;KING BOY  KIKO, KUE BASAH, SNACK RINGAN  KUE BASAH;2023-07-21;MAKANAN, MAKANAN, MAKANAN;3000, WING 4, 100000
T143;ADEM SARI SCT, GULA PUTIH LOKAL, KOREK DUCATI;2023-07-22;MAKANAN, MAKANAN, BAHAN BAKAR;AS, 859384, 020238
T144;GULA KELAPA BLITAR, HUNKWEE, MASAKO 11 GR SCT SAPI 1 RTG, MINYAK CURAH BIMOLI, ROSE BRAND 500 GR BERAS, SASA 50 G, TEPUNG BERAS CAP LOMBOK, TERIGU BIASA;2023-07-22;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;696946, 046523, 033147, 986998, 115008, 943017, 046757, 985324
T145;EMERON HIJAB CLEAN & FRESH 10 ML  1, FAIR & LOVELY CREAM 90 1 LSN, LIFEBUOY SHP SCT 10 ML KUAT BERKILA, MAMA LIME 115ML 10 PCS, PANTENE COND SCT 5 ML H. FAIL 1 LSN, SAJIKU TEPUNG BUMBU 40 GR 10 SCT, TEH 999 BESAR 1 PACK, TEH 999 TANGGUNG 1 PACK, ZINC SHP SCT 12 ML REFRESHING COOL;2023-07-23;SHAMPO, KOSMETIK, SHAMPO, SABUN, SHAMPO, MAKANAN, MAKANAN, MAKANAN, SHAMPO;108003, 007768, 027032, 105132, 415729, 061034, 670022, 670015, 107488
T146;INDOMIE GORENG KRIUK PEDAS 10 PCS, KIMBO REDDI 552 GR, RINSO AN + MOLTO 42 G 1 LSN, SEDAP GORENG 10 PCS, SOKLIN SOFT 55 G FRESH P 1 LSN;2023-07-23;MAKANAN, MAKANAN, SABUN, MAKANAN, SABUN;059779, 111221, 558062, 200301, 610452
T147;KUE BASAH, SARDINES ABC 155 GR SAUS TOMAT, TAJIMAS SUPERIOR 12;2023-07-23;MAKANAN, MAKANAN, ROKOK;WING, 330009, 573243
T148;BUBUK SATU SATU 250 G, EKOMIE 600GR, H&S SCT CLEAN & BALANCED 1 LSN, INDOMIE AYAM BAWANG, INDOMIE RASA AYAM SPESIAL, KECAP SAWI REF 100 ML, KODOMO BP 200+50 GR MOISTURIZING PO, KOKOLA KUKIS MOCHACHINO 218 GR, KRESEK LOREK JATAYU, MIE SEDAP GORENG, MIE SEDAP SOTO, NISSIN CRISPY CRACKERS 225 GR, ZEN 70 GR JAPANESE RED SHISO, ZEN 70 GR PURE TEA TREE, ZEN 70GR SEA SALT;2023-07-23;MAKANAN, MAKANAN, SHAMPO, MAKANAN, MAKANAN, MAKANAN, KOSMETIK, MAKANAN, PLASTIK & MIKA, MAKANAN, MAKANAN, MAKANAN, SABUN, SABUN, SABUN;001800, 200561, 566988, 010015, 010046, 211700, 104975, 121619, 256662, 200301, 200325, 336568, 532849, 533082, 532832
T149;FRISIQAN FLAG SKM 260GR COKELAT, MAMA LEMON 70 ML 10 PCS, MIE SEDAP KARI SPESIAL, SNACK RINGAN  KUE BASAH;2023-07-25;MAKANAN, SABUN, MAKANAN, MAKANAN;722747, 105125, 200578, 100000
T150;BELFOODS CHICKEN NUGGET 250 GR, KING BOY  KIKO, KUE BASAH, LEZZA NUGGET CHICKEN 200 GR;2023-07-26;MAKANAN, MAKANAN, MAKANAN, MAKANAN;800963, 3000, WING 4, 040153
T151;"ANDALAN FIL;TER 12 1 PRES, DIAPET, DJI SAM SOE 12 5 PACK, GG SURYA 12 5 PAK, TAJIMAS GOLD GRENJENG 1 PRES";2023-07-26;ROKOK, OBAT, ROKOK, ROKOK, ROKOK;340239, 144060, 028234, 110129, 076009
T152;EKONOMI POWER LIQUID 105 +27 ML, GIV 80 GR ROSE & ALMOND, GIV 80 GR WHITE HIJAB S & N, GULA PUTIH LOKAL, INTERMI GORENG, MIE SEDAP GORENG, MINYAK KITA 1LTR REFF APICAL;2023-07-26;SABUN, SABUN, SABUN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;611701, 888622, 621519, 859384, 021219, 200301, 860722
T153;GOOD TIME MINI 18 GR DOUBLE CHOC, KANZLER SINGLES 65 GR HOT, LOTTE CHOCOPIE SOFT CAKE MARSHMALLO, MILO UHT 110 ML, TORA BIKA CREAMY LATTE 25 G 1 RTG;2023-07-26;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;030936, 345717, 811119, 523081, 001306
T154;GG SURYA 12, GULA PUTIH LOKAL, KANTONG TGG;2023-07-26;ROKOK, MAKANAN, PLASTIK & MIKA;110129, 859384, 304048
T155;NABATI TIME BREAK 36 GR RICHOCHO, SO NICE TEMAN MIE 600 GR, SOKLIN SOFT 215 GR  PURPLE, TELUR RAS 0.25 KG, YAKULT;2023-07-27;MAKANAN, MAKANAN, SABUN, MAKANAN, MAKANAN;551472, 0002489, 610070, 783492, YY
T156;BAWANG PUTIH 1 ONS, GULA KELAPA BLITAR 0.25 KG, GULA PUTIH LOKAL, PATI ROSE BRAND LOS, ROSE BRAND 500 GR BERAS, WECARE POPOK SINGLE L1;2023-07-29;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, DIAPERS;896564, 696946, 859384, 894373, 115008, 011016
T157;CLOSE UP GREEN 75 GR, DRAMAMIN, KOREK SENTER, MTL KONICARE 30 ML, MY BABY PWD 50 GR F.FRUITY, PASEO BABY PURE 50 S, REJOICE COND 10 ML RICH 1 LSN, REJOICE SHP 5.5 ML ANTI KUSUT 1 PAC, SEHAT BW 100 ML FRESH MILK, SG CIPTADENT CRISTAL CLEAN;2023-07-29;PASTA GIGI, OBAT, BAHAN BAKAR, OBAT, PERLENGKAPAN BAYI, TISSU & KAPAS, SHAMPO, SHAMPO, SABUN, PERLENGKAPAN KAMAR MANDI;574376, 060367, 020237, 400276, 059802, 131239, 699761, 697965, 625001, 103978
T158;CLEVO UHT 125 ML COKLAT, GOPEK 25 GR CHICKEN BBQ, RELAXA PLAY CAR 12GR, YAKULT;2023-07-29;MAKANAN, MAKANAN, MAKANAN, MAKANAN;717004, 490049, 337824, YY
T159;BUBBLE MATA, CHITATO 15 GR BBQ, EKONOMI POWER LIQUID 210ML+80ML, YUPI GUMMY PIZZA;2023-07-29;MAKANAN, MAKANAN, SABUN, MAKANAN;280229, 598018, 611725, 900416
T160;CAMP HULA-HULA KACANG HIJAU 50 ML, CAMP PETIT 35 ML GRAPE, DJ 76 FILTER GOLD 12, DJ 76 MADU HITAM, GLICO POCKY 40 GR DBL CHOCO, KUE BASAH;2023-07-30;MAKANAN, MAKANAN, ROKOK, ROKOK, MAKANAN, MAKANAN, MAKANAN;720123, 720161, 101309, 101774, 000031, WING 4, WING
T161;GERY CHOCOLATOS 1 DOS, KATE EYE 1 KTK, MINYAK CURAH BIMOLI, TOP 16 GR STRAWBERY 1 KTK;2023-07-30;MAKANAN, MAKANAN, MAKANAN, MAKANAN;311608, 998981, 986998, 242570
T162;KAPAL API 6.5 G 1 RTG, MAGIC LEZAT 1 RTG, MASAKO 11 GR SCT SAPI 1 RTG, ROYCO SAPI 9 GR 1 RTG, SASA 50 G, TOP PLUS GULA 18 G 1 RTG;2023-07-30;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;105584, 521834, 033147, 502409, 943017, 803281
T163;BERAS INI BERASKU 10 KG, GG MERAH 12, GG SURYA 12, INDOMIE GORENG 85 GR, INDOMIE GORENG 85 GR ACEH, INTERMI GORENG, KOREK DUCATI, MIE SEDAP GORENG, MIE SEDAP SOTO, TARO NET 36 GR COWNOY STEAK;2023-07-31;MAKANAN, ROKOK, ROKOK, MAKANAN, MAKANAN, MAKANAN, BAHAN BAKAR, MAKANAN, MAKANAN, MAKANAN;328456, 500128, 110129, 010947, 043204, 021219, 020238, 200301, 200325, 002497
T164;BUBUK MURNI 0.25 KG, GARAM HALUS SEGI TIGA G 200 GR, GIV 80 GR EXOTIC GLOW, GULA PUTIH LOKAL, KACANG TANAH LOKAL, LIFEBUOY 85 GR TOTAL 10, MINYAK CURAH BIMOLI, ROYCO SAPI 10 GR 1 RTG, TERIGU BIASA;2023-07-31;MAKANAN, MAKANAN, SABUN, MAKANAN, MAKANAN, SABUN, MAKANAN, MAKANAN, MAKANAN;456465, 123453, 602389, 859384, 047902, 059309, 986998, 046651, 985324
T165;GARAM KOTAK, GULA PUTIH LOKAL, HERS PROTEX MAXI WING 10 P, MAMASUKA KUAH BAKSO 1 RTG, MASAKO 11 GR SCT SAPI 1 RTG, TELUR RAS A, TERI KERING, TERIGU BIASA, UDANG DAWU;2023-07-31;MAKANAN, MAKANAN, PEMBALUT WANITA, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;233211, 859384, 500135, 703091, 033147, 783492, 164664, 985324, 266656
T166;GULA PUTIH LOKAL, SIIPLAH 600 ML, SOFTEX DAUN SIRIH NON WING 23 CM;2023-08-02;MAKANAN, MAKANAN, PEMBALUT WANITA;859384, 603541, 9117606
T167;BAYGON SPRAY 450 ML FLOWER GARDEN, BETTER SANDWICH VANILA CREAM 100 GR, FRISIAN FLAG 40 GR PUTIH 1 RTG, KACANG HIJAU SUPER 0.25 KG, KRESEK LOREK JATAYU, MARIE REGAL 250 GR, SARI ROTI KLASIK KASUR KRIM MESSES, SARI ROTI TAWAR KUPAS, UNIBIS BISKIZ 120 GR MALKIST CHOCOL, UNIBIS MEGA RING TARTLET CHOCOLATE;2023-08-02;OBAT NYAMUK KECOA SEMUT, MAKANAN, MAKANAN, MAKANAN, PLASTIK & MIKA, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;995397, 3189080, 031894, 416695, 256662, 112504, 996321, 953287, 022035, 9022011
T168;CITRA HAZ 40GR PEARLY WHITE UV, GG KALENG 50 BTG, GRENDEL UTAMA ISI 5 PACK, RINSO AN + MOLTO 42 G 1 LSN, SOKLIN SOFTERGENT  KOREAN CAMELIA 5;2023-08-02;KOSMETIK, ROKOK, ROKOK, SABUN, SABUN;003890, 110501, 122199, 558062, 618694
T169;BUBBLE MATA, DJ 76 MADU HITAM  1 PRES, GG KALENG 50 BTG, LARUTAN K3 ANAK 250 ML STRAWBERY, MADURASA 25 GR ORIGINAL, NYAM-NYAM 25 GR CHOCOLATE, PIATTOS 70 GR KEJU PEDAS KOREA, PIATTOS SAMBAL GEPREK 35 GR, SOSIS KIMBO  SO NICE  IGA BAKAR, WALLS SWEET CORN 98 ML;2023-08-03;MAKANAN, ROKOK, ROKOK, MAKANAN, OBAT, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;280229, 101774, 110501, 502197, 731317, 401030, 005559, 004859, SS, 591588
T170;FLORIDINA 350 ML ORANGE, KUE BASAH, MIE SEDAP KOREAN SPICY CHICKEN 10PC, SEDAP GORENG 10 PCS, SEDAP KARI SPESIAL 10 PCS, TAJIMAS KING 1 PRES;2023-08-03;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, ROKOK;500708, WING 4, 202343, 200301, 200578, KING
T171;ANDALAN FILTER 12, BUBUK MURNI 0.25 KG, DJI SAM SOE PREMIUM 12;2023-08-04;ROKOK, MAKANAN, ROKOK;340239, 456465, 028999
T172;BAWANG PUTIH 1 ONS, IMPLORA PENSIL ALIS HITAMCOKLAT, NISSIN WALENS CHOCO SOES 100 GR, ROYCO SAPI 9 GR 1 RTG, SANTANPAS SANTAN BUBUK 13 G, TELUR RAS A, WARDAH MICELLAR  50 ML GENTLE WASH, WARDAH REF TWC 12 GR 02 GOLDEN BEIG;2023-08-05;MAKANAN, KOSMETIK, MAKANAN, MAKANAN, MAKANAN, MAKANAN, SABUN, KOSMETIK;896564, 079716, 993150, 502409, 110015, 783492, 708067, 685702
T173;KUE BASAH, MULTI MPH 200 SHEET, PASEO BABY WIPES WITH JOJOBA OIL 50;2023-08-05;MAKANAN, TISSU & KAPAS, TISSU & KAPAS;WING, 025202, 641097
T174;ALPENLIEBE ECLAIRS CHOCOLATE CARAME, BERAS SOVIA 5KG, BODREX EXTRA 4 TABLET, DOWNY 10 ML MYSTIQUE, EKONOMI 500K ANTI NODA VIOLET, GIV 80 GR EXOTIC GLOW, MIE SEDAP SOTO, MONTIS TISSUE 250S 2PLY, NIVEA DEO 9ML EXTRA BRIGHTENING, PROMAG TB KUNYAH, ROYCO SAPI 9 GR 1 RTG, SABUN K NAT WHITE 85 GR S MAGNOLIA, TOP WHITE COFFE 1 RTG;2023-08-06;MAKANAN, MAKANAN, OBAT, SABUN, SABUN, SABUN, MAKANAN, TISSU & KAPAS, KOSMETIK, OBAT, MAKANAN, SABUN, MAKANAN;022413, 110587, 285003, 111494, 611121, 602389, 200325, 411108, 018160, 665000, 502409, 620307, 609234
T175;DONALD ES TELER NATA DE COCO, GULA PUTIH LOKAL, KING COCO 235 GR, SUKI AYAM KECAP 110 GR;2023-08-07;MAKANAN, MAKANAN, MAKANAN, MAKANAN;041530, 859384, 226019, 002243
