"No.";"Antecedent";"Consequent";"Jumlah";"Support";"Confidence";"Exp. Confidence";"Lift Ratio"
"1";"TIRTA SAMBAL SAOS";"BALA BALA KANTONG 0.5 KG";"6";"0,77 %";"85,71 %";"1,41 %";"60,78"
"2";"BALA BALA KANTONG 0.5 KG";"TIRTA SAMBAL SAOS";"6";"0,77 %";"54,55 %";"0,90 %";"60,78"
"3";"TIRTA SAMBAL SAOS";"BIHUN JAGUNG PADAMU 380 GR MERAH";"5";"0,64 %";"71,43 %";"1,54 %";"46,43"
"4";"BIHUN JAGUNG PADAMU 380 GR MERAH";"TIRTA SAMBAL SAOS";"5";"0,64 %";"41,67 %";"0,90 %";"46,43"
"5";"TEPUNG BERAS CAP LOMBOK";"PATI MATAHARI";"6";"0,77 %";"60,00 %";"1,92 %";"31,20"
"6";"PATI MATAHARI";"TEPUNG BERAS CAP LOMBOK";"6";"0,77 %";"40,00 %";"1,28 %";"31,20"
"7";"BALA BALA KANTONG 0.5 KG";"BIHUN JAGUNG PADAMU 380 GR MERAH";"5";"0,64 %";"45,45 %";"1,54 %";"29,55"
"8";"BIHUN JAGUNG PADAMU 380 GR MERAH";"BALA BALA KANTONG 0.5 KG";"5";"0,64 %";"41,67 %";"1,41 %";"29,55"
"9";"FERMIPAN ASLI";"TERIGU SEGITIGA";"6";"0,77 %";"66,67 %";"2,44 %";"27,37"
"10";"PATI MATAHARI";"ROSE BRAND 500 GR BERAS";"7";"0,90 %";"46,67 %";"2,69 %";"17,33"
"11";"PETIS RAJAWALI 1 KG";"KACANG TANAH LOKAL";"5";"0,64 %";"55,56 %";"3,46 %";"16,05"
"12";"MIE SEDAP AYAM BAWANG";"MIE SEDAP SOTO";"8";"1,03 %";"53,33 %";"4,62 %";"11,56"
"13";"BALA BALA KANTONG 0.5 KG";"TELUR RAS A";"8";"1,03 %";"72,73 %";"6,79 %";"10,70"
"14";"TIRTA SAMBAL SAOS";"TELUR RAS A";"5";"0,64 %";"71,43 %";"6,79 %";"10,51"
"15";"LPG 3 KG";"BUBUK MURNI 0.25 KG";"5";"0,64 %";"55,56 %";"5,51 %";"10,08"
"16";"GG DJAYA HIJAU 12 1 PRES";"TAJIMAS GOLD GRENJENG 1 PRES";"5";"0,64 %";"41,67 %";"4,23 %";"9,85"
"17";"MIE SEDAP SOTO";"MIE SEDAP GORENG";"22";"2,82 %";"61,11 %";"6,92 %";"8,83"
"18";"MIE SEDAP GORENG";"MIE SEDAP SOTO";"22";"2,82 %";"40,74 %";"4,62 %";"8,83"
"19";"BIHUN JAGUNG PADAMU 380 GR MERAH";"TELUR RAS A";"6";"0,77 %";"50,00 %";"6,79 %";"7,36"
"20";"MIE SEDAP KOREAN SPICY CHICKEN";"MIE SEDAP GORENG";"5";"0,64 %";"50,00 %";"6,92 %";"7,22"
"21";"SAMPOERNA AGA 10+2 1 PRES";"GG SURYA 12";"14";"1,79 %";"73,68 %";"10,51 %";"7,01"
"22";"DJ SCORE TEH MANIS 12";"TAJIMAS KING";"6";"0,77 %";"60,00 %";"8,72 %";"6,88"
"23";"GAJAH BARU INTERNATIONAL 12";"GG SURYA 12";"5";"0,64 %";"71,43 %";"10,51 %";"6,79"
"24";"MIE SEDAP AYAM BAWANG";"MIE SEDAP GORENG";"7";"0,90 %";"46,67 %";"6,92 %";"6,74"
"25";"SAMPOERNA AGA 10+2 1 PRES";"TAJIMAS KING";"11";"1,41 %";"57,89 %";"8,72 %";"6,64"
"26";"GRENDEL BIRU 12 1 PRES";"GG SURYA 12";"19";"2,44 %";"63,33 %";"10,51 %";"6,02"
"27";"GRENDEL UTAMA ISI 5 PACK";"TAJIMAS KING";"16";"2,05 %";"50,00 %";"8,72 %";"5,74"
"28";"DJ SCORE TEH MANIS 12";"GG SURYA 12";"6";"0,77 %";"60,00 %";"10,51 %";"5,71"
"29";"GG DJAYA HIJAU 12 1 PRES";"GG SURYA 12";"7";"0,90 %";"58,33 %";"10,51 %";"5,55"
"30";"GRENDEL BIRU 12 1 PRES";"TAJIMAS KING";"14";"1,79 %";"46,67 %";"8,72 %";"5,35"
"31";"ANDALAN FILTER 12 5 PAK";"TAJIMAS KING";"17";"2,18 %";"45,95 %";"8,72 %";"5,27"
"32";"TAJIMAS GOLD GRENJENG 1 PRES";"TAJIMAS KING";"15";"1,92 %";"45,45 %";"8,72 %";"5,21"
"33";"DJI SAM SOE 12";"GG SURYA 12";"5";"0,64 %";"50,00 %";"10,51 %";"4,76"
"34";"GRENDEL UTAMA ISI 5 PACK";"GG SURYA 12";"16";"2,05 %";"50,00 %";"10,51 %";"4,76"
"35";"TERIGU CAKRA";"GULA PUTIH LOKAL";"5";"0,64 %";"83,33 %";"18,46 %";"4,51"
"36";"ANDALAN FILTER 12 5 PAK";"GG SURYA 12";"17";"2,18 %";"45,95 %";"10,51 %";"4,37"
"37";"TAJIMAS KING";"GG SURYA 12";"30";"3,85 %";"44,12 %";"10,51 %";"4,20"
"38";"KOREK DUCATI";"GG SURYA 12";"6";"0,77 %";"42,86 %";"10,51 %";"4,08"
"39";"TAJIMAS GOLD GRENJENG 1 PRES";"GG SURYA 12";"14";"1,79 %";"42,42 %";"10,51 %";"4,04"
"40";"INTERMI GORENG";"GULA PUTIH LOKAL";"6";"0,77 %";"54,55 %";"18,46 %";"2,95"
"41";"BALA BALA KANTONG 0.5 KG";"GULA PUTIH LOKAL";"6";"0,77 %";"54,55 %";"18,46 %";"2,95"
"42";"TEPUNG BERAS CAP LOMBOK";"GULA PUTIH LOKAL";"5";"0,64 %";"50,00 %";"18,46 %";"2,71"
"43";"KACANG TANAH LOKAL";"GULA PUTIH LOKAL";"12";"1,54 %";"44,44 %";"18,46 %";"2,41"
"44";"BUBUK MURNI 0.25 KG";"GULA PUTIH LOKAL";"19";"2,44 %";"44,19 %";"18,46 %";"2,39"
"45";"BIHUN JAGUNG PADAMU 380 GR MERAH";"GULA PUTIH LOKAL";"5";"0,64 %";"41,67 %";"18,46 %";"2,26"
"46";"MINYAK CURAH BIMOLI";"GULA PUTIH LOKAL";"17";"2,18 %";"40,48 %";"18,46 %";"2,19"
"47";"PATI MATAHARI";"GULA PUTIH LOKAL";"6";"0,77 %";"40,00 %";"18,46 %";"2,17"
